year,age,people
180,65,0.1138
180,70,0.0819
180,75,0.0772
180,80,0.0771
90,0,0.0058
90,5,0.0069
90,10,0.0130
90,15,0.0197
90,20,0.0237
90,25,0.0353
90,30,0.0508
90,35,0.0701
90,40,0.0867
90,45,0.0823
90,50,0.0786
90,55,0.0909
90,60,0.1287
90,65,0.0905
90,70,0.0789
90,75,0.0707
90,80,0.0674
0,0,0.0084
0,5,0.0109
0,10,0.0161
0,15,0.0225
0,20,0.0346
0,25,0.0474
0,30,0.0581
0,35,0.0680
0,40,0.0739
0,45,0.0751
0,50,0.0988
0,55,0.1039
0,60,0.0977
0,65,0.0785
0,70,0.0646
0,75,0.0654
0,80,0.0761
