ageband,year,pop,rate,ratelow,rateupp,deaths,people,percent
35-39,2003,Female,78.88,65.06,92.71,125,158460,0.000788843
40-44,2003,Female,114.86,98.4,131.33,187,162800,0.001148649
45-49,2003,Female,191.48,168.68,214.28,271,141530,0.001914788
50-54,2003,Female,299.59,269.27,329.92,375,125170,0.002995926
55-59,2003,Female,452.83,412.77,492.88,491,108430,0.004528267
60-64,2003,Female,720.98,664.72,777.23,631,87520,0.007209781
65-69,2003,Female,1193,1111.94,1274.07,832,69740,0.011930026
70-74,2003,Female,1909.44,1801.67,2017.2,1206,63160,0.019094364
75-79,2003,Female,3114.66,2967.21,3262.12,1714,55030,0.031146647
80+,2003,Female,9860.08,9639.57,10080.59,7681,77900,0.09860077
Total,2004,Female,409.9,402.72,417.07,14651,2084310,0.007029185
00-04,2004,Female,294.86,266.32,323.4,410,139050,0.00294858
05-09,2004,Female,13.31,7.33,19.29,19,142750,0.0001331
10-14,2004,Female,13.05,7.33,18.77,20,153270,0.000130489
15-19,2004,Female,44.62,33.85,55.38,66,147930,0.000446157
20-24,2004,Female,37.46,27.38,47.55,53,141480,0.000374611
25-29,2004,Female,38.31,27.69,48.93,50,130520,0.000383083
30-34,2004,Female,57.84,45.89,69.79,90,155600,0.000578406
35-39,2004,Female,80.88,66.92,94.84,129,159490,0.000808828
40-44,2004,Female,112.6,96.46,128.73,187,166080,0.001125963
45-49,2004,Female,190.52,168.17,212.88,279,146440,0.001905217
50-54,2004,Female,305.95,275.59,336.32,390,127470,0.003059543
55-59,2004,Female,445.83,407.1,484.56,509,114170,0.004458264
60-64,2004,Female,747.75,691.21,804.28,672,89870,0.007477467
65-69,2004,Female,1132.21,1054.57,1209.84,817,72160,0.011322062
70-74,2004,Female,1896.06,1788.46,2003.65,1193,62920,0.018960585
75-79,2004,Female,3104.32,2957.48,3251.16,1717,55310,0.031043211
80+,2004,Female,10087.72,9867.35,10308.09,8050,79800,0.100877193
Total,2005,Female,378.95,372.13,385.76,13902,2109860,0.006589063
00-04,2005,Female,247.46,221.31,273.62,344,139010,0.002474642
05-09,2005,Female,14.03,7.88,20.18,20,142540,0.000140311
10-14,2005,Female,10.5,5.36,15.65,16,152380,0.000105001
15-19,2005,Female,39.09,29.12,49.07,59,150930,0.00039091
20-24,2005,Female,38.31,28.19,48.44,55,143550,0.000383142
25-29,2005,Female,34.22,24.22,44.22,45,131490,0.000342231
30-34,2005,Female,57.3,45.33,69.27,88,153580,0.000572991
35-39,2005,Female,76.46,62.95,89.97,123,160870,0.000764593
40-44,2005,Female,119.1,102.55,135.64,199,167090,0.001190975
45-49,2005,Female,194.07,171.84,216.29,293,150980,0.001940654
50-54,2005,Female,263.44,235.56,291.32,343,130200,0.002634409
55-59,2005,Female,425.62,388.57,462.67,507,119120,0.004256212
60-64,2005,Female,682.11,628.85,735.38,630,92360,0.006821135
65-69,2005,Female,1046.1,973.24,1118.95,792,75710,0.010460969
70-74,2005,Female,1669.86,1568.62,1771.11,1045,62580,0.016698626
75-79,2005,Female,2924.24,2782.06,3066.42,1625,55570,0.029242397
80+,2005,Female,9423.69,9213.44,9633.93,7718,81900,0.094236874
Total,2006,Female,390.02,383.19,396.86,14673,2136540,0.006867646
00-04,2006,Female,271.7,244.38,299.02,380,139860,0.002717003
05-09,2006,Female,7.71,3.15,12.27,11,142670,7.71e-05
10-14,2006,Female,13.25,7.45,19.06,20,150900,0.000132538
15-19,2006,Female,41.52,31.35,51.7,64,154130,0.000415234
20-24,2006,Female,35.79,26.06,45.51,52,145310,0.000357856
25-29,2006,Female,35.87,25.72,46.01,48,133830,0.000358664
30-34,2006,Female,48.07,36.97,59.17,72,149780,0.000480705
35-39,2006,Female,72.83,59.75,85.92,119,163390,0.000728319
40-44,2006,Female,115.25,98.95,131.56,192,166590,0.00115253
45-49,2006,Female,185.87,164.48,207.27,290,156020,0.001858736
50-54,2006,Female,282.66,254.16,311.15,378,133730,0.002826591
55-59,2006,Female,420.61,384.31,456.9,516,122680,0.004206065
60-64,2006,Female,642.68,591.72,693.64,611,95070,0.006426843
65-69,2006,Female,1051.78,980.69,1122.86,841,79960,0.010517759
70-74,2006,Female,1825.42,1719.73,1931.11,1146,62780,0.018254221
75-79,2006,Female,3042.47,2898.05,3186.89,1705,56040,0.030424697
80+,2006,Female,9818.62,9606.46,10030.77,8228,83800,0.098186158
Total,2007,Female,378.34,371.63,385.05,14409,2158530,0.006675376
00-04,2007,Female,304.41,275.8,333.02,435,142900,0.003044087
05-09,2007,Female,9.82,4.67,14.96,14,142620,9.82e-05
10-14,2007,Female,16.74,10.18,23.3,25,149330,0.000167414
15-19,2007,Female,41.02,30.97,51.07,64,156030,0.000410178
20-24,2007,Female,37.25,27.31,47.18,54,144970,0.000372491
25-29,2007,Female,32.4,22.83,41.97,44,135810,0.000323982
30-34,2007,Female,54.88,42.86,66.91,80,145760,0.000548847
35-39,2007,Female,79.95,66.31,93.59,132,165110,0.000799467
40-44,2007,Female,124.7,107.68,141.73,206,165190,0.001247049
45-49,2007,Female,148.21,129.38,167.04,238,160580,0.001482127
50-54,2007,Female,255.2,228.5,281.9,351,137540,0.002551985
55-59,2007,Female,421.87,385.61,458.13,520,123260,0.004218725
60-64,2007,Female,616.55,568.02,665.08,620,100560,0.006165473
65-69,2007,Female,1037.75,968.63,1106.86,866,83450,0.010377472
70-74,2007,Female,1685.71,1585.03,1786.39,1077,63890,0.016857098
75-79,2007,Female,2877.03,2736.58,3017.48,1612,56030,0.028770302
80+,2007,Female,9439.77,9233.82,9645.71,8071,85500,0.094397661
Total,2008,Female,382.04,375.4,388.68,14936,2177430,0.006859463
00-04,2008,Female,265.08,238.73,291.42,389,146750,0.002650767
05-09,2008,Female,12.67,6.82,18.52,18,142080,0.000126689
10-14,2008,Female,12.17,6.55,17.79,18,147930,0.000121679
15-19,2008,Female,42.14,31.97,52.31,66,156620,0.000421402
20-24,2008,Female,42.17,31.59,52.75,61,144650,0.000421708
25-29,2008,Female,41.4,30.65,52.15,57,137680,0.000414003
30-34,2008,Female,45.7,34.59,56.81,65,142240,0.000456974
35-39,2008,Female,83.08,69.16,96.99,137,164910,0.000830756
40-44,2008,Female,108.38,92.41,124.34,177,163320,0.001083762
45-49,2008,Female,148.12,129.54,166.71,244,164730,0.001481212
50-54,2008,Female,248.53,222.53,274.53,351,141230,0.002485308
55-59,2008,Female,455.86,418.31,493.42,566,124160,0.004558634
60-64,2008,Female,643.27,595.31,691.23,691,107420,0.006432694
65-69,2008,Female,1036.51,968.14,1104.87,883,85190,0.010365066
70-74,2008,Female,1761.29,1659.53,1863.04,1151,65350,0.017612854
75-79,2008,Female,2848.23,2708.53,2987.92,1597,56070,0.028482254
80+,2008,Female,9718.71,9511.68,9925.75,8465,87100,0.097187141
Total,2009,Female,371.27,364.76,377.78,14741,2199160,0.006703014
00-04,2009,Female,292.07,264.69,319.46,437,149620,0.002920733
05-09,2009,Female,14.03,7.88,20.18,20,142510,0.000140341
10-14,2009,Female,18.37,11.44,25.3,27,146950,0.000183736
15-19,2009,Female,33.8,24.7,42.9,53,156820,0.000337967
20-24,2009,Female,32.85,23.55,42.14,48,146130,0.000328475
25-29,2009,Female,45.91,34.67,57.16,64,139390,0.000459143
30-34,2009,Female,47.65,36.24,59.06,67,140600,0.000476529
35-39,2009,Female,72.37,59.31,85.43,118,163050,0.000723704
40-44,2009,Female,115.24,98.77,131.71,188,163140,0.001152384
45-49,2009,Female,171.37,151.51,191.23,286,166890,0.001713704
50-54,2009,Female,286.4,258.88,313.93,416,145250,0.002864028
55-59,2009,Female,365.97,332.6,399.34,462,126240,0.003659696
60-64,2009,Female,606.06,560.64,651.48,684,112860,0.006060606
65-69,2009,Female,979.88,914.27,1045.48,857,87460,0.009798765
70-74,2009,Female,1661.74,1564.59,1758.89,1124,67640,0.016617386
75-79,2009,Female,2663.21,2527.93,2798.48,1489,55910,0.026632087
80+,2009,Female,9471.25,9268.72,9673.79,8401,88700,0.094712514
Total,2010,Female,356.92,350.62,363.21,14538,2224040,0.006536753
00-04,2010,Female,258.82,233.33,284.32,396,153000,0.002588235
05-09,2010,Female,4.93,1.28,8.58,7,142010,4.93e-05
10-14,2010,Female,13.57,7.63,19.52,20,147330,0.00013575
15-19,2010,Female,34.54,25.33,43.76,54,156330,0.000345423
20-24,2010,Female,37.41,27.61,47.21,56,149690,0.000374106
25-29,2010,Female,41.16,30.57,51.75,58,140910,0.00041161
30-34,2010,Female,51.41,39.53,63.28,72,140060,0.000514065
35-39,2010,Female,66.18,53.58,78.77,106,160180,0.000661756
40-44,2010,Female,117.62,101.02,134.21,193,164090,0.001176184
45-49,2010,Female,173.28,153.34,193.22,290,167360,0.001732792
50-54,2010,Female,253.39,227.88,278.9,379,149570,0.002533931
55-59,2010,Female,362.27,329.41,395.13,467,128910,0.003622682
60-64,2010,Female,586.93,543.14,630.73,690,117560,0.005869343
65-69,2010,Female,975.2,910.66,1039.75,877,89930,0.009752029
70-74,2010,Female,1562.85,1470.87,1654.84,1109,70960,0.015628523
75-79,2010,Female,2580.41,2446.95,2713.88,1436,55650,0.025804133
80+,2010,Female,9202.21,9004.57,9399.85,8328,90500,0.092022099
Total,2011,Female,372.69,366.34,379.05,15578,2241480,0.006949872
00-04,2011,Female,241.46,216.95,265.96,373,154480,0.002414552
05-09,2011,Female,4.93,1.28,8.58,7,141970,4.93e-05
10-14,2011,Female,10.86,5.54,16.18,16,147320,0.000108607
15-19,2011,Female,36.26,26.76,45.75,56,154460,0.000362553
20-24,2011,Female,50.31,39.07,61.55,77,153050,0.000503104
25-29,2011,Female,51.73,39.87,63.6,73,141110,0.000517327
30-34,2011,Female,62.05,49.01,75.09,87,140200,0.000620542
35-39,2011,Female,78.24,64.3,92.18,121,154650,0.000782412
40-44,2011,Female,111.53,95.46,127.6,185,165880,0.001115264
45-49,2011,Female,164.03,144.54,183.53,272,165820,0.001640333
50-54,2011,Female,244.3,219.61,268.99,376,153910,0.002442986
55-59,2011,Female,380.11,346.89,413.33,503,132330,0.003801103
60-64,2011,Female,610.59,566.57,654.62,739,121030,0.006105924
65-69,2011,Female,1018.47,953.46,1083.47,943,92590,0.010184685
70-74,2011,Female,1576.07,1486.14,1665.99,1180,74870,0.015760652
75-79,2011,Female,2734.28,2597.09,2871.47,1526,55810,0.02734277
80+,2011,Female,9830.43,9627.83,10033.04,9044,92000,0.098304348
Total,2012,Female,357.33,351.19,363.47,15309,2254250,0.006791172
00-04,2012,Female,240.11,215.61,264.61,369,153680,0.002401093
05-09,2012,Female,9.75,4.64,14.86,14,143530,9.75e-05
10-14,2012,Female,10.95,5.58,16.31,16,146150,0.000109477
15-19,2012,Female,34.63,25.3,43.95,53,153060,0.000346269
20-24,2012,Female,38.15,28.41,47.88,59,154660,0.000381482
25-29,2012,Female,24.81,16.59,33.03,35,141050,0.000248139
30-34,2012,Female,56.27,43.86,68.68,79,140400,0.000562678
35-39,2012,Female,58.29,46.04,70.54,87,149250,0.000582915
40-44,2012,Female,111.54,95.51,127.57,186,166750,0.001115442
45-49,2012,Female,188.73,167.68,209.77,309,163730,0.001887253
50-54,2012,Female,252.66,227.87,277.45,399,157920,0.002526596
55-59,2012,Female,329.88,299.37,360.39,449,136110,0.003298802
60-64,2012,Female,556.88,514.99,598.76,679,121930,0.005568769
65-69,2012,Female,895.64,836.4,954.89,878,98030,0.008956442
70-74,2012,Female,1490.37,1404.89,1575.84,1168,78370,0.014903662
75-79,2012,Female,2676.97,2542.57,2811.37,1524,56930,0.026769717
80+,2012,Female,9714.13,9513.49,9914.77,9005,92700,0.097141316
Total,2013,Female,329.92,324.09,335.76,14386,2272010,0.006331838
00-04,2013,Female,188.33,166.5,210.16,286,151860,0.001883314
05-09,2013,Female,8.19,3.56,12.82,12,146510,8.19e-05
10-14,2013,Female,10.37,5.12,15.62,15,144600,0.000103734
15-19,2013,Female,31.49,22.58,40.4,48,152420,0.000314919
20-24,2013,Female,28.17,19.84,36.49,44,156220,0.000281654
25-29,2013,Female,26.61,18.15,35.07,38,142790,0.000266125
30-34,2013,Female,46.53,35.31,57.76,66,141840,0.000465313
35-39,2013,Female,62.76,49.86,75.65,91,145000,0.000627586
40-44,2013,Female,96.72,81.78,111.66,161,166460,0.000967199
45-49,2013,Female,153.16,134.1,172.22,248,161920,0.001531621
50-54,2013,Female,263.22,238.23,288.22,426,161840,0.002632229
55-59,2013,Female,343.05,312.33,373.77,479,139630,0.003430495
60-64,2013,Female,556.28,514.65,597.9,686,123320,0.005562764
65-69,2013,Female,838.81,783.42,894.2,881,105030,0.00838808
70-74,2013,Female,1378.71,1297.45,1459.96,1106,80220,0.013787086
75-79,2013,Female,2573.14,2443.09,2703.18,1504,58450,0.025731394
80+,2013,Female,8833.87,8643.76,9023.97,8295,93900,0.088338658
Total,1996,Maori,1062.42,1016.86,1107.97,2771,529000,0.005238185
00-04,1996,Maori,452.42,403.53,501.31,329,72720,0.004524202
05-09,1996,Maori,11.64,3.58,19.71,8,68700,0.000116448
10-14,1996,Maori,44.54,27.08,62,25,56130,0.000445395
15-19,1996,Maori,124.19,94.89,153.49,69,55560,0.001241901
20-24,1996,Maori,135.83,103.06,168.6,66,48590,0.001358304
25-29,1996,Maori,177.07,137.26,216.88,76,42920,0.001770736
30-34,1996,Maori,207.28,163.47,251.09,86,41490,0.002072789
35-39,1996,Maori,256.69,204.52,308.86,93,36230,0.002566933
40-44,1996,Maori,318.02,252.32,383.73,90,28300,0.003180212
45-49,1996,Maori,670.24,562.98,777.5,150,22380,0.006702413
50-54,1996,Maori,1134.27,970.82,1297.72,185,16310,0.011342735
55-59,1996,Maori,1677.33,1463.33,1891.33,236,14070,0.016773276
60-64,1996,Maori,3108.11,2768.62,3447.6,322,10360,0.031081081
65-69,1996,Maori,4509.25,4012.85,5005.64,317,7030,0.045092461
70-74,1996,Maori,6090.05,5345.47,6834.63,257,4220,0.060900474
75-79,1996,Maori,8061.67,6893.64,9229.71,183,2270,0.08061674
80+,1996,Maori,15762.71,13913.08,17612.34,279,1770,0.157627119
Total,1997,Maori,980.15,937.81,1022.5,2694,540500,0.004984274
00-04,1997,Maori,442.67,394.32,491.02,322,72740,0.004426725
05-09,1997,Maori,26.94,14.82,39.05,19,70540,0.000269351
10-14,1997,Maori,37.85,22.04,53.67,22,58120,0.000378527
15-19,1997,Maori,130.27,100.18,160.36,72,55270,0.001302696
20-24,1997,Maori,108.5,79.29,137.71,53,48850,0.001084954
25-29,1997,Maori,171.08,132.36,209.79,75,43840,0.001710766
30-34,1997,Maori,180.55,139.69,221.41,75,41540,0.001805489
35-39,1997,Maori,196.9,152.34,241.47,75,38090,0.001969021
40-44,1997,Maori,370.25,301.05,439.44,110,29710,0.003702457
45-49,1997,Maori,582.48,484.94,680.02,137,23520,0.00582483
50-54,1997,Maori,1163.74,1002.05,1325.43,199,17100,0.011637427
55-59,1997,Maori,1663.19,1452.33,1874.05,239,14370,0.016631872
60-64,1997,Maori,2692.66,2382.75,3002.58,290,10770,0.026926648
65-69,1997,Maori,4330.18,3855.73,4804.62,320,7390,0.043301759
70-74,1997,Maori,5634.74,4940.41,6329.08,253,4490,0.056347439
75-79,1997,Maori,8093.22,6945.43,9241.01,191,2360,0.080932203
80+,1997,Maori,13010.75,11371.48,14650.02,242,1860,0.130107527
Total,1998,Maori,934.23,893.85,974.61,2638,552000,0.004778986
00-04,1998,Maori,350.81,307.92,393.7,257,73260,0.003508054
05-09,1998,Maori,20.93,10.34,31.52,15,71670,0.000209293
10-14,1998,Maori,47.88,30.45,65.3,29,60570,0.000478785
15-19,1998,Maori,117.07,88.38,145.75,64,54670,0.00117066
20-24,1998,Maori,134.75,102.24,167.26,66,48980,0.001347489
25-29,1998,Maori,163.6,126.07,201.13,73,44620,0.001636038
30-34,1998,Maori,173.24,133.23,213.26,72,41560,0.001732435
35-39,1998,Maori,204.69,160.39,249,82,40060,0.00204693
40-44,1998,Maori,304.98,243.65,366.3,95,31150,0.003049759
45-49,1998,Maori,625.25,526.5,724.01,154,24630,0.006252538
50-54,1998,Maori,949.75,807.81,1091.69,172,18110,0.009497515
55-59,1998,Maori,1684.93,1474.37,1895.49,246,14600,0.016849315
60-64,1998,Maori,2697.84,2392.55,3003.13,300,11120,0.026978417
65-69,1998,Maori,4115.38,3665.18,4565.59,321,7800,0.041153846
70-74,1998,Maori,5315.13,4660.17,5970.08,253,4760,0.053151261
75-79,1998,Maori,7862.9,6759.28,8966.53,195,2480,0.078629032
80+,1998,Maori,12385.79,10831.67,13939.91,244,1970,0.123857868
Total,1999,Maori,954.19,914.08,994.3,2776,562900,0.004931604
00-04,1999,Maori,383.05,338.34,427.76,282,73620,0.003830481
05-09,1999,Maori,15.23,6.23,24.23,11,72220,0.000152312
10-14,1999,Maori,39.46,23.99,54.93,25,63350,0.000394633
15-19,1999,Maori,92.4,66.79,118.02,50,54110,0.000924044
20-24,1999,Maori,121.25,90.31,152.19,59,48660,0.001212495
25-29,1999,Maori,135.05,101.16,168.94,61,45170,0.001350454
30-34,1999,Maori,173.19,133.46,212.92,73,42150,0.00173191
35-39,1999,Maori,224.8,179.11,270.49,93,41370,0.002248006
40-44,1999,Maori,382.05,315.34,448.76,126,32980,0.003820497
45-49,1999,Maori,598.76,504.19,693.32,154,25720,0.005987558
50-54,1999,Maori,1067.71,921.55,1213.87,205,19200,0.010677083
55-59,1999,Maori,1718.12,1507.65,1928.59,256,14900,0.017181208
60-64,1999,Maori,2805.19,2499.74,3110.65,324,11550,0.028051948
65-69,1999,Maori,3546.01,3137.18,3954.85,289,8150,0.035460123
70-74,1999,Maori,5577.69,4924.36,6231.02,280,5020,0.055776892
75-79,1999,Maori,8257.58,7161.4,9353.75,218,2640,0.082575758
80+,1999,Maori,13170.73,11599.7,14741.76,270,2050,0.131707317
Total,2000,Maori,905.96,867.48,944.44,2689,574000,0.004684669
00-04,2000,Maori,359.31,316.13,402.49,266,74030,0.003593138
05-09,2000,Maori,24.82,13.36,36.29,18,72510,0.000248242
10-14,2000,Maori,21.13,10.06,32.2,14,66250,0.000211321
15-19,2000,Maori,80.9,56.99,104.8,44,54390,0.000808972
20-24,2000,Maori,106.52,77.28,135.75,51,47880,0.001065163
25-29,2000,Maori,129.33,96.33,162.33,59,45620,0.001293292
30-34,2000,Maori,167.29,128.65,205.93,72,43040,0.001672862
35-39,2000,Maori,173.15,133.43,212.87,73,42160,0.001731499
40-44,2000,Maori,318.87,259.55,378.2,111,34810,0.003188739
45-49,2000,Maori,540.44,452.47,628.41,145,26830,0.005404398
50-54,2000,Maori,875.73,747.44,1004.03,179,20440,0.008757339
55-59,2000,Maori,1687.71,1480.15,1895.26,254,15050,0.016877076
60-64,2000,Maori,2364.98,2092.31,2637.64,289,12220,0.023649755
65-69,2000,Maori,4054.37,3625.3,4483.45,343,8460,0.040543735
70-74,2000,Maori,4925.09,4329.85,5520.33,263,5340,0.049250936
75-79,2000,Maori,7801.42,6770.51,8832.32,220,2820,0.078014184
80+,2000,Maori,13395.35,11848.26,14942.43,288,2150,0.133953488
Total,2001,Maori,864.29,827.95,900.63,2720,585700,0.004644016
00-04,2001,Maori,373.2,329.33,417.08,278,74490,0.003732045
05-09,2001,Maori,24.78,13.33,36.23,18,72640,0.000247797
10-14,2001,Maori,24.71,12.96,36.45,17,68810,0.000247057
15-19,2001,Maori,86.35,61.92,110.77,48,55590,0.000863465
20-24,2001,Maori,95.99,68.25,123.73,46,47920,0.000959933
25-29,2001,Maori,139.1,104.75,173.45,63,45290,0.001391036
30-34,2001,Maori,174.17,135.27,213.07,77,44210,0.001741687
35-39,2001,Maori,186.54,145.41,227.68,79,42350,0.001865407
40-44,2001,Maori,306.09,249.41,362.78,112,36590,0.003060946
45-49,2001,Maori,479.23,398.39,560.08,135,28170,0.004792332
50-54,2001,Maori,961.8,831.41,1092.2,209,21730,0.00961804
55-59,2001,Maori,1541.96,1345.65,1738.28,237,15370,0.015419649
60-64,2001,Maori,2472.53,2199.48,2745.58,315,12740,0.024725275
65-69,2001,Maori,3307,2928.33,3685.66,293,8860,0.033069977
70-74,2001,Maori,5474.06,4860.72,6087.41,306,5590,0.054740608
75-79,2001,Maori,6905.54,5975.96,7835.12,212,3070,0.069055375
80+,2001,Maori,12168.14,10729.96,13606.32,275,2260,0.121681416
Total,2002,Maori,840.26,805.26,875.25,2736,594900,0.004599092
00-04,2002,Maori,341.35,299.37,383.33,254,74410,0.00341352
05-09,2002,Maori,13.82,5.26,22.39,10,72340,0.000138236
10-14,2002,Maori,21.29,10.52,32.06,15,70460,0.000212887
15-19,2002,Maori,84.95,61.4,108.49,50,58860,0.000849473
20-24,2002,Maori,102.72,73.66,131.78,48,46730,0.001027177
25-29,2002,Maori,115.86,84.06,147.65,51,44020,0.001158564
30-34,2002,Maori,164.88,127.32,202.45,74,44880,0.001648841
35-39,2002,Maori,184.88,143.85,225.91,78,42190,0.001848779
40-44,2002,Maori,302.24,247.24,357.24,116,38380,0.003022408
45-49,2002,Maori,585.25,498.04,672.46,173,29560,0.005852503
50-54,2002,Maori,886.85,764.85,1008.85,203,22890,0.008868502
55-59,2002,Maori,1449.72,1264.37,1635.08,235,16210,0.014497224
60-64,2002,Maori,2133.03,1882.73,2383.32,279,13080,0.021330275
65-69,2002,Maori,3674.57,3284.55,4064.59,341,9280,0.03674569
70-74,2002,Maori,5297.11,4709.33,5884.9,312,5890,0.052971138
75-79,2002,Maori,6435.05,5570.84,7299.25,213,3310,0.064350453
80+,2002,Maori,11983.12,10589.43,13376.81,284,2370,0.119831224
Total,2003,Maori,829.54,795.54,863.54,2817,603000,0.004671642
00-04,2003,Maori,355.6,312.62,398.57,263,73960,0.003555976
05-09,2003,Maori,15.22,6.23,24.22,11,72260,0.000152228
10-14,2003,Maori,39.29,24.74,53.85,28,71260,0.000392927
15-19,2003,Maori,119.84,92.53,147.14,74,61750,0.001198381
20-24,2003,Maori,115.93,85.01,146.85,54,46580,0.001159296
25-29,2003,Maori,133.46,98.81,168.11,57,42710,0.001334582
30-34,2003,Maori,163.83,126.5,201.15,74,45170,0.001638255
35-39,2003,Maori,157.86,119.77,195.94,66,41810,0.00157857
40-44,2003,Maori,301.82,248.04,355.6,121,40090,0.003018209
45-49,2003,Maori,547.28,464.77,629.79,169,30880,0.005472798
50-54,2003,Maori,797.83,684.68,910.98,191,23940,0.007978279
55-59,2003,Maori,1363.37,1189.43,1537.32,236,17310,0.013633738
60-64,2003,Maori,2208.08,1956.11,2460.06,295,13360,0.022080838
65-69,2003,Maori,3406.02,3037.41,3774.63,328,9630,0.034060228
70-74,2003,Maori,4808.92,4266.54,5351.29,302,6280,0.048089172
75-79,2003,Maori,7102.27,6221.87,7982.68,250,3520,0.071022727
80+,2003,Maori,11967.87,10609.04,13326.7,298,2490,0.119678715
Total,2004,Maori,803.67,771.05,836.29,2844,610600,0.004657714
00-04,2004,Maori,349.36,306.73,391.99,258,73850,0.003493568
05-09,2004,Maori,11.12,3.42,18.83,8,71920,0.000111235
10-14,2004,Maori,33.59,20.15,47.02,24,71460,0.000335852
15-19,2004,Maori,98.84,74.43,123.25,63,63740,0.00098839
20-24,2004,Maori,117.72,86.89,148.55,56,47570,0.001177213
25-29,2004,Maori,131.17,96.5,165.84,55,41930,0.00131171
30-34,2004,Maori,140.22,105.59,174.84,63,44930,0.001402181
35-39,2004,Maori,205.4,161.99,248.81,86,41870,0.002053977
40-44,2004,Maori,347.61,290.44,404.79,142,40850,0.003476132
45-49,2004,Maori,545.12,464.81,625.43,177,32470,0.005451186
50-54,2004,Maori,822.96,710.31,935.62,205,24910,0.008229627
55-59,2004,Maori,1309.78,1144.42,1475.15,241,18400,0.013097826
60-64,2004,Maori,1941.61,1708.27,2174.94,266,13700,0.019416058
65-69,2004,Maori,3230.92,2880.19,3581.65,326,10090,0.032309217
70-74,2004,Maori,4885.84,4351.35,5420.34,321,6570,0.048858447
75-79,2004,Maori,6497.33,5680.39,7314.26,243,3740,0.064973262
80+,2004,Maori,11742.42,10435.25,13049.6,310,2640,0.117424242
Total,2005,Maori,787.12,755.42,818.83,2867,617600,0.004642163
00-04,2005,Maori,352.56,309.54,395.58,258,73180,0.003525553
05-09,2005,Maori,22.32,11.38,33.25,16,71700,0.000223152
10-14,2005,Maori,18.22,8.32,28.13,13,71340,0.000182226
15-19,2005,Maori,101.44,76.97,125.92,66,65060,0.001014448
20-24,2005,Maori,130.11,98.23,161.98,64,49190,0.001301077
25-29,2005,Maori,121.49,88.14,154.83,51,41980,0.001214864
30-34,2005,Maori,179.78,140.38,219.17,80,44500,0.001797753
35-39,2005,Maori,202.33,159.32,245.35,85,42010,0.002023328
40-44,2005,Maori,368.56,309.78,427.35,151,40970,0.003685624
45-49,2005,Maori,423.9,354.67,493.14,144,33970,0.004239034
50-54,2005,Maori,751.65,645.88,857.42,194,25810,0.007516466
55-59,2005,Maori,1091.92,945.97,1237.88,215,19690,0.010919248
60-64,2005,Maori,2285.51,2033.91,2537.11,317,13870,0.022855083
65-69,2005,Maori,3008.36,2680.78,3335.93,324,10770,0.030083565
70-74,2005,Maori,4191.18,3704.58,4677.77,285,6800,0.041911765
75-79,2005,Maori,6400,5616,7184,256,4000,0.064
80+,2005,Maori,12428.57,11122.74,13734.4,348,2800,0.124285714
Total,2006,Maori,777.71,747.19,808.23,2967,624700,0.00474948
00-04,2006,Maori,385.72,340.78,430.66,283,73370,0.003857162
05-09,2006,Maori,25.2,13.56,36.85,18,71420,0.00025203
10-14,2006,Maori,23.98,12.58,35.39,17,70880,0.000239842
15-19,2006,Maori,122.71,95.99,149.43,81,66010,0.001227087
20-24,2006,Maori,89.71,63.5,115.93,45,50160,0.000897129
25-29,2006,Maori,110.96,79.57,142.35,48,43260,0.00110957
30-34,2006,Maori,168.24,129.65,206.84,73,43390,0.001682415
35-39,2006,Maori,199.72,157.26,242.18,85,42560,0.00199718
40-44,2006,Maori,266.08,215.89,316.26,108,40590,0.002660754
45-49,2006,Maori,494.49,421.23,567.75,175,35390,0.0049449
50-54,2006,Maori,747.49,644.15,850.83,201,26890,0.007474898
55-59,2006,Maori,1237.41,1086.42,1388.4,258,20850,0.012374101
60-64,2006,Maori,2153.41,1912.13,2394.69,306,14210,0.021534131
65-69,2006,Maori,2809.19,2500.43,3117.95,318,11320,0.028091873
70-74,2006,Maori,4594.97,4098.45,5091.5,329,7160,0.045949721
75-79,2006,Maori,6413.3,5648.31,7178.29,270,4210,0.064133017
80+,2006,Maori,11655.63,10437.98,12873.27,352,3020,0.116556291
Total,2007,Maori,753.64,724.5,782.79,3023,634400,0.004765132
00-04,2007,Maori,406.07,361.08,451.06,313,77080,0.004060716
05-09,2007,Maori,21.03,10.39,31.68,15,71320,0.00021032
10-14,2007,Maori,21.4,10.57,32.23,15,70100,0.00021398
15-19,2007,Maori,74.74,54.02,95.45,50,66900,0.000747384
20-24,2007,Maori,101.72,74.07,129.37,52,51120,0.001017214
25-29,2007,Maori,115.79,83.7,147.89,50,43180,0.001157943
30-34,2007,Maori,174.73,134.92,214.55,74,42350,0.001747344
35-39,2007,Maori,226.9,181.98,271.83,98,43190,0.002269044
40-44,2007,Maori,312.11,257.61,366.61,126,40370,0.00312113
45-49,2007,Maori,458.49,389.37,527.62,169,36860,0.004584916
50-54,2007,Maori,779.04,676.09,881.98,220,28240,0.007790368
55-59,2007,Maori,1131.03,989.69,1272.37,246,21750,0.011310345
60-64,2007,Maori,1997.35,1771.7,2222.99,301,15070,0.019973457
65-69,2007,Maori,2811.69,2506.94,3116.45,327,11630,0.028116939
70-74,2007,Maori,4431.22,3956.69,4905.74,335,7560,0.044312169
75-79,2007,Maori,6174.5,5446.04,6902.95,276,4470,0.061744966
