ageband,year,pop,rate,ratelow,rateupp,deaths,people,percent
15-19,2013,Male,63.65,51.3,76.01,102,160240,0.000636545
20-24,2013,Male,73.9,60.57,87.24,118,159670,0.000739024
25-29,2013,Male,71.2,57.03,85.37,97,136230,0.000712031
30-34,2013,Male,73.09,58.39,87.79,95,129980,0.000730882
35-39,2013,Male,107.18,89.49,124.88,141,131550,0.001071836
40-44,2013,Male,147.22,127.81,166.63,221,150120,0.001472156
45-49,2013,Male,237.68,213.03,262.34,357,150200,0.002376831
50-54,2013,Male,339.36,310.02,368.7,514,151460,0.003393635
55-59,2013,Male,527.35,488.23,566.47,698,132360,0.005273497
60-64,2013,Male,774.12,723.93,824.3,914,118070,0.00774117
65-69,2013,Male,1244.52,1175.5,1313.54,1249,100360,0.012445197
70-74,2013,Male,2190.07,2083.65,2296.49,1627,74290,0.02190066
75-79,2013,Male,3674.11,3507.85,3840.37,1876,51060,0.036741089
80+,2013,Male,10088.89,9840.86,10336.92,6356,63000,0.100888889
Total,1996,Female,474.43,466.08,482.78,13975,1892070,0.00738609
00-04,1996,Female,308.73,279.88,337.58,440,142520,0.003087286
05-09,1996,Female,15.94,9.43,22.46,23,144270,0.000159423
10-14,1996,Female,25.98,17.25,34.71,34,130880,0.00025978
15-19,1996,Female,62.64,49.16,76.12,83,132500,0.000626415
20-24,1996,Female,48.42,36.91,59.93,68,140440,0.000484193
25-29,1996,Female,54.14,42.2,66.07,79,145930,0.000541355
30-34,1996,Female,68.65,55.58,81.72,106,154410,0.000686484
35-39,1996,Female,79.82,65.54,94.1,120,150340,0.000798191
40-44,1996,Female,110.8,92.95,128.65,148,133570,0.001108033
45-49,1996,Female,250.3,222.48,278.12,311,124250,0.002503018
50-54,1996,Female,350.93,313.57,388.29,339,96600,0.003509317
55-59,1996,Female,543.48,493.26,593.69,450,82800,0.005434783
60-64,1996,Female,967.51,894.25,1040.77,670,69250,0.00967509
65-69,1996,Female,1452.46,1362.39,1542.53,999,68780,0.014524571
70-74,1996,Female,2306.1,2187.32,2424.88,1448,62790,0.023060997
75-79,1996,Female,3853.45,3680.59,4026.32,1909,49540,0.038534518
80+,1996,Female,10677.22,10422.46,10931.97,6748,63200,0.106772152
Total,1997,Female,445.39,437.38,453.4,13455,1918330,0.007013913
00-04,1997,Female,274.03,246.76,301.3,388,141590,0.002740307
05-09,1997,Female,12.17,6.55,17.79,18,147950,0.000121663
10-14,1997,Female,22.51,14.45,30.56,30,133280,0.00022509
15-19,1997,Female,51.29,39.1,63.48,68,132580,0.000512898
20-24,1997,Female,46.82,35.35,58.29,64,136700,0.000468178
25-29,1997,Female,61.04,48.43,73.65,90,147450,0.000610376
30-34,1997,Female,72.04,58.64,85.44,111,154080,0.000720405
35-39,1997,Female,69.44,56.34,82.54,108,155530,0.0006944
40-44,1997,Female,130.13,111.07,149.2,179,137550,0.001301345
45-49,1997,Female,210.39,185.01,235.77,264,125480,0.002103921
50-54,1997,Female,360.84,324.03,397.66,369,102260,0.003608449
55-59,1997,Female,578.1,527.43,628.77,500,86490,0.005781015
60-64,1997,Female,817.2,750.34,884.05,574,70240,0.008171982
65-69,1997,Female,1366.1,1278.48,1453.71,934,68370,0.013660962
70-74,1997,Female,2135.1,2020.65,2249.55,1337,62620,0.021351006
75-79,1997,Female,3448.68,3287.29,3610.08,1754,50860,0.034486827
80+,1997,Female,10209.8,9964.72,10454.88,6667,65300,0.102098009
Total,1998,Female,428.54,420.75,436.33,13188,1937730,0.006805902
00-04,1998,Female,239.6,214.02,265.18,337,140650,0.002396018
05-09,1998,Female,12.75,7.02,18.48,19,149020,0.0001275
10-14,1998,Female,21.98,14.12,29.85,30,136480,0.000219812
15-19,1998,Female,63.13,49.63,76.64,84,133050,0.000631342
20-24,1998,Female,37.71,27.26,48.16,50,132590,0.000377102
25-29,1998,Female,41.06,30.67,51.45,60,146130,0.000410593
30-34,1998,Female,71.37,57.97,84.77,109,152720,0.000713724
35-39,1998,Female,79,65.21,92.8,126,159490,0.000790018
40-44,1998,Female,143.15,123.41,162.89,202,141110,0.001431507
45-49,1998,Female,188.13,164.23,212.03,238,126510,0.001881274
50-54,1998,Female,319.07,285.6,352.55,349,109380,0.003190711
55-59,1998,Female,546.79,498.12,595.45,485,88700,0.005467869
60-64,1998,Female,876.66,808.14,945.17,629,71750,0.008766551
65-69,1998,Female,1345.39,1258.22,1432.57,915,68010,0.013453904
70-74,1998,Female,2049.04,1937.09,2160.98,1287,62810,0.020490368
75-79,1998,Female,3499.9,3339.46,3660.35,1828,52230,0.034999043
80+,1998,Female,9597.62,9363.21,9832.03,6440,67100,0.095976155
Total,1999,Female,444.31,436.46,452.16,14057,1951360,0.007203694
00-04,1999,Female,277.96,250.23,305.69,386,138870,0.002779578
05-09,1999,Female,10.11,4.99,15.23,15,148370,0.000101099
10-14,1999,Female,21.48,13.79,29.17,30,139650,0.000214823
15-19,1999,Female,52.55,40.24,64.86,70,133210,0.000525486
20-24,1999,Female,46.35,34.62,58.07,60,129460,0.000463464
25-29,1999,Female,42.68,31.97,53.39,61,142920,0.000426812
30-34,1999,Female,57.27,45.24,69.31,87,151910,0.000572708
35-39,1999,Female,81.4,67.46,95.34,131,160930,0.000814019
40-44,1999,Female,137.51,118.4,156.61,199,144720,0.001375069
45-49,1999,Female,202,177.4,226.6,259,128220,0.002019966
50-54,1999,Female,318.99,286.36,351.63,367,115050,0.003189917
55-59,1999,Female,536.44,488.84,584.04,488,90970,0.005364406
60-64,1999,Female,856.1,789.57,922.64,636,74290,0.008561045
65-69,1999,Female,1356.43,1268.59,1444.28,916,67530,0.013564342
70-74,1999,Female,2116.06,2002.37,2229.74,1331,62900,0.021160572
75-79,1999,Female,3481.25,3323.67,3638.82,1875,53860,0.034812477
80+,1999,Female,10432.12,10190.24,10674,7146,68500,0.104321168
Total,2000,Female,409.07,401.57,416.56,13162,1965130,0.006697776
00-04,2000,Female,277.29,249.49,305.1,382,137760,0.002772938
05-09,2000,Female,18.45,11.49,25.41,27,146330,0.000184514
10-14,2000,Female,11.16,5.69,16.62,16,143400,0.000111576
15-19,2000,Female,37.21,26.9,47.53,50,134360,0.000372135
20-24,2000,Female,32.96,22.99,42.93,42,127430,0.000329593
25-29,2000,Female,55.41,43.03,67.79,77,138960,0.000554116
30-34,2000,Female,52.05,40.57,63.53,79,151770,0.000520524
35-39,2000,Female,70.39,57.41,83.37,113,160530,0.000703918
40-44,2000,Female,124.87,106.88,142.87,185,148150,0.001248734
45-49,2000,Female,193.56,169.66,217.46,252,130190,0.001935633
50-54,2000,Female,303.21,272.02,334.4,363,119720,0.003032075
55-59,2000,Female,529.59,482.89,576.29,494,93280,0.005295883
60-64,2000,Female,808.59,745.4,871.78,629,77790,0.008085872
65-69,2000,Female,1228.54,1144.61,1312.48,823,66990,0.012285416
70-74,2000,Female,1937.38,1828.62,2046.14,1219,62920,0.019373808
